index,name,formula,mz,rt
1,glucose M0,C6H12O6,179.056,7.51
2,glucose M1,C6H12O6,180.059355,7.51
3,glucose M2,C6H12O6,181.06271,7.51
4,glucose M3,C6H12O6,182.066065,7.51
5,glucose M4,C6H12O6,183.06942,7.51
6,glucose M5,C6H12O6,184.072775,7.51
7,glucose M6,C6H12O6,185.07613,7.51
8,malate M0,C4H6O5,133.014,9.05
9,malate M1,C4H6O5,134.017355,9.05
10,malate M2,C4H6O5,135.02071,9.05
11,malate M3,C4H6O5,136.024065,9.05
12,malate M4,C4H6O5,137.02742,9.05
13,succinate M0,C4H6O4,117.019,8.5
14,succinate M1,C4H6O4,118.022355,8.5
15,succinate M2,C4H6O4,119.02571,8.5
16,succinate M3,C4H6O4,120.029065,8.5
17,succinate M4,C4H6O4,121.03242,8.5
18,aspartate M0,C4H7NO4,132.03,8.09
19,aspartate M1,C4H7NO4,133.033355,8.09
20,aspartate M2,C4H7NO4,134.03671,8.09
21,aspartate M3,C4H7NO4,135.040065,8.09
22,aspartate M4,C4H7NO4,136.04342,8.09
23,glutamine M0,C5H10N2O3,145.062,7.29
24,glutamine M1,C5H10N2O3,146.065355,7.29
25,glutamine M2,C5H10N2O3,147.06871,7.29
26,glutamine M3,C5H10N2O3,148.072065,7.29
27,glutamine M4,C5H10N2O3,149.07542,7.29
28,glutamine M5,C5H10N2O3,150.078775,7.29
29,histidine M0,C6H9N3O2,154.062,6.86
30,histidine M1,C6H9N3O2,155.065355,6.86
31,histidine M2,C6H9N3O2,156.06871,6.86
32,histidine M3,C6H9N3O2,157.072065,6.86
33,histidine M4,C6H9N3O2,158.07542,6.86
34,histidine M5,C6H9N3O2,159.078775,6.86
35,histidine M6,C6H9N3O2,160.08213,6.86
36,cysteine M0,C3H7NO2S,120.012,8.84
37,cysteine M1,C3H7NO2S,121.015355,8.84
38,cysteine M2,C3H7NO2S,122.01871,8.84
39,cysteine M3,C3H7NO2S,123.022065,8.84
40,glutamate M0,C5H9NO4,146.046,7.86
41,glutamate M1,C5H9NO4,147.049355,7.86
42,glutamate M2,C5H9NO4,148.05271,7.86
43,glutamate M3,C5H9NO4,149.056065,7.86
44,glutamate M4,C5H9NO4,150.05942,7.86
45,glutamate M5,C5H9NO4,151.062775,7.86
46,tyrosine M0,C9H11NO3,180.067,5.86
47,tyrosine M1,C9H11NO3,181.070355,5.86
48,tyrosine M2,C9H11NO3,182.07371,5.86
49,tyrosine M3,C9H11NO3,183.077065,5.86
50,tyrosine M4,C9H11NO3,184.08042,5.86
51,tyrosine M5,C9H11NO3,185.083775,5.86
52,tyrosine M6,C9H11NO3,186.08713,5.86
53,tyrosine M7,C9H11NO3,187.090485,5.86
54,tyrosine M8,C9H11NO3,188.09384,5.86
55,tyrosine M9,C9H11NO3,189.097195,5.86
56,tryptophan M0,C11H12N2O2,203.083,5.04
57,tryptophan M1,C11H12N2O2,204.086355,5.04
58,tryptophan M2,C11H12N2O2,205.08971,5.04
59,tryptophan M3,C11H12N2O2,206.093065,5.04
60,tryptophan M4,C11H12N2O2,207.09642,5.04
