index,name,formula,mz,rt
1,glycine M0,C2H5NO2,76.039,7.66
2,glycine M1,C2H5NO2,77.042355,7.66
3,glycine M2,C2H5NO2,78.04571,7.66
4,alanine M0,C3H7NO2,90.055,6.97
5,alanine M1,C3H7NO2,91.058355,6.97
6,alanine M2,C3H7NO2,92.06171,6.97
7,alanine M3,C3H7NO2,93.065065,6.97
8,proline M0,C5H9NO2,116.071,5.68
9,proline M1,C5H9NO2,117.074355,5.68
10,proline M2,C5H9NO2,118.07771,5.68
11,proline M3,C5H9NO2,119.081065,5.68
12,proline M4,C5H9NO2,120.08442,5.68
13,proline M5,C5H9NO2,121.087775,5.68
14,serine M0,C3H7NO3,106.05,8.23
15,serine M1,C3H7NO3,107.053355,8.23
16,serine M2,C3H7NO3,108.05671,8.23
17,serine M3,C3H7NO3,109.060065,8.23
18,threonine M0,C4H9NO3,120.066,6.71
19,threonine M1,C4H9NO3,121.069355,6.71
20,threonine M2,C4H9NO3,122.07271,6.71
21,threonine M3,C4H9NO3,123.076065,6.71
22,threonine M4,C4H9NO3,124.07942,6.71
23,lysine M0,C6H14N2O2,147.113,11.58
24,lysine M1,C6H14N2O2,148.116355,11.58
25,lysine M2,C6H14N2O2,149.11971,11.58
26,lysine M3,C6H14N2O2,150.123065,11.58
27,lysine M4,C6H14N2O2,151.12642,11.58
28,lysine M5,C6H14N2O2,152.129775,11.58
29,lysine M6,C6H14N2O2,153.13313,11.58
30,arginine M0,C6H14N4O2,175.119,12.02
31,arginine M1,C6H14N4O2,176.122355,12.02
32,arginine M2,C6H14N4O2,177.12571,12.02
33,arginine M3,C6H14N4O2,178.129065,12.02
34,arginine M4,C6H14N4O2,179.13242,12.02
35,arginine M5,C6H14N4O2,180.135775,12.02
36,arginine M6,C6H14N4O2,181.13913,12.02
37,phenylalanine M0,C9H11NO2,166.086,3.97
38,phenylalanine M1,C9H11NO2,167.089355,3.97
39,phenylalanine M2,C9H11NO2,168.09271,3.97
40,phenylalanine M3,C9H11NO2,169.096065,3.97
41,phenylalanine M4,C9H11NO2,170.09942,3.97
42,phenylalanine M5,C9H11NO2,171.102775,3.97
43,phenylalanine M6,C9H11NO2,172.10613,3.97
44,phenylalanine M7,C9H11NO2,173.109485,3.97
45,phenylalanine M8,C9H11NO2,174.11284,3.97
46,phenylalanine M9,C9H11NO2,175.116195,3.97
47,creatinine M0,C4H7N3O,114.066,3.74
48,creatinine M1,C4H7N3O,115.069355,3.74
49,creatinine M2,C4H7N3O,116.07271,3.74
50,creatinine M3,C4H7N3O,117.076065,3.74
51,creatinine M4,C4H7N3O,118.07942,3.74
52,S-adenosyl-methionine M0,C15H23N6O5S,399.145,7.95
53,S-adenosyl-methionine M1,C15H23N6O5S,400.148355,7.95
54,S-adenosyl-methionine M2,C15H23N6O5S,401.15171,7.95
55,S-adenosyl-methionine M3,C15H23N6O5S,402.155065,7.95
56,S-adenosyl-methionine M4,C15H23N6O5S,403.15842,7.95
57,S-adenosyl-methionine M5,C15H23N6O5S,404.161775,7.95
58,S-adenosyl-methionine M6,C15H23N6O5S,405.16513,7.95
59,S-adenosyl-methionine M7,C15H23N6O5S,406.168485,7.95
60,S-adenosyl-methionine M8,C15H23N6O5S,407.17184,7.95
61,S-adenosyl-methionine M9,C15H23N6O5S,408.175195,7.95
62,S-adenosyl-methionine M10,C15H23N6O5S,409.17855,7.95
63,S-adenosyl-methionine M11,C15H23N6O5S,410.181905,7.95
64,S-adenosyl-methionine M12,C15H23N6O5S,411.18526,7.95
65,S-adenosyl-methionine M13,C15H23N6O5S,412.188615,7.95
66,S-adenosyl-methionine M14,C15H23N6O5S,413.19197,7.95
67,S-adenosyl-methionine M15,C15H23N6O5S,414.195325,7.95
68,methionine M0,C5H11NO2S,150.058,5.06
69,methionine M1,C5H11NO2S,151.061355,5.06
70,methionine M2,C5H11NO2S,152.06471,5.06
71,methionine M3,C5H11NO2S,153.068065,5.06
72,methionine M4,C5H11NO2S,154.07142,5.06
73,methionine M5,C5H11NO2S,155.074775,5.06
74,valine M0,C5H11NO2,118.086,5.43
75,valine M1,C5H11NO2,119.089355,5.43
76,valine M2,C5H11NO2,120.09271,5.43
77,valine M3,C5H11NO2,121.096065,5.43
78,valine M4,C5H11NO2,122.09942,5.43
79,valine M5,C5H11NO2,123.102775,5.43
80,acetyl-carnitine M0,C9H17NO4,204.123,4.54
81,acetyl-carnitine M1,C9H17NO4,205.126355,4.54
82,acetyl-carnitine M2,C9H17NO4,206.12971,4.54
